story_id,person,type,aliases,sentence_id,text,mention_count,word_count,text_prev,text_next,bert_context,is_primary_in_sentence
1,Person-1,protagonist,['Man'],19,7 The Book that begins with a Murder Mystery charming Picture of Gray-Haired Man discovered Dead in his Library Blood splashed all over the Furniture Knife of Curious Design lying on Floor,5,110.0,After you have seen the Pictures there is no need to wrestle with the Text,You know at once that the most Respected and least suspected Personage in the Book committed the awful Crime but you haven't the Heart to Track him down and compel him to commit Suicide,After you have seen the Pictures there is no need to wrestle with the Text [SEP] 7 The Book that begins with a Murder Mystery charming Picture of Gray-Haired Man discovered Dead in his Library Blood splashed all over the Furniture Knife of Curious Design lying on Floor [SEP] You know at once that the most Respected and least suspected Personage in the Book committed the awful Crime but you haven't the Heart to Track him down and compel him to commit Suicide,1
1,Person-1,protagonist,['Man'],21,8 The Book that gets away with one Man asking another By Jove who is that Dazzling Beauty in the Box,5,110.0,You know at once that the most Respected and least suspected Personage in the Book committed the awful Crime but you haven't the Heart to Track him down and compel him to commit Suicide,The Man who asks this Question has a Name which sounds like the Title of a Sleeping Car,You know at once that the most Respected and least suspected Personage in the Book committed the awful Crime but you haven't the Heart to Track him down and compel him to commit Suicide [SEP] 8 The Book that gets away with one Man asking another By Jove who is that Dazzling Beauty in the Box [SEP] The Man who asks this Question has a Name which sounds like the Title of a Sleeping Car,1
1,Person-1,protagonist,['Man'],22,The Man who asks this Question has a Name which sounds like the Title of a Sleeping Car,5,110.0,8 The Book that gets away with one Man asking another By Jove who is that Dazzling Beauty in the Box,You feel instinctively that he is going to be all Mixed Up with that Girl in the Box before Chapter XII,8 The Book that gets away with one Man asking another By Jove who is that Dazzling Beauty in the Box [SEP] The Man who asks this Question has a Name which sounds like the Title of a Sleeping Car [SEP] You feel instinctively that he is going to be all Mixed Up with that Girl in the Box before Chapter XII,1
1,Person-1,protagonist,['Man'],24,is reached but who can take any real Interest in the Love Affairs of a Man with such a Name,5,110.0,You feel instinctively that he is going to be all Mixed Up with that Girl in the Box before Chapter XII,9 The Book that tells all about Society and how Tough it is,You feel instinctively that he is going to be all Mixed Up with that Girl in the Box before Chapter XII [SEP] is reached but who can take any real Interest in the Love Affairs of a Man with such a Name [SEP] 9 The Book that tells all about Society and how Tough it is,1
1,Person-1,protagonist,['Man'],27,The clever Man of the World who says all the Killing Things is almost as Funny as Ally Sloper,5,110.0,Even the Women drink Brandy and Soda smoke Cigarettes and Gamble,An irritable Person after reading nine Chapters of this kind of High Life would be ready to go Home and throw his Grandmother into the Fire,Even the Women drink Brandy and Soda smoke Cigarettes and Gamble [SEP] The clever Man of the World who says all the Killing Things is almost as Funny as Ally Sloper [SEP] An irritable Person after reading nine Chapters of this kind of High Life would be ready to go Home and throw his Grandmother into the Fire,1
1,Person-2,neutral,['Dyspeptic'],1,Once there was a blue Dyspeptic who attempted to Kill Time by reading Novels until he discovered that all Books of Fiction were a Mockery,2,50.0,,After a prolonged Experience he came to know that every Specimen of Light Reading belonged to one of the following Divisions 1,[SEP] Once there was a blue Dyspeptic who attempted to Kill Time by reading Novels until he discovered that all Books of Fiction were a Mockery [SEP] After a prolonged Experience he came to know that every Specimen of Light Reading belonged to one of the following Divisions 1,1
1,Person-2,neutral,['Dyspeptic'],38,The Dyspeptic said that when he wanted something really Fresh and Original in the Line of Fiction he read the Prospectus of a Mining Corporation,2,50.0,Why continue,Moral Only the more Rugged Mortals should attempt to Keep Up on Current Literature,Why continue [SEP] The Dyspeptic said that when he wanted something really Fresh and Original in the Line of Fiction he read the Prospectus of a Mining Corporation [SEP] Moral Only the more Rugged Mortals should attempt to Keep Up on Current Literature,1
1,Person-3,neutral,['Cow'],34,Then John decides to sell the Cow,1,7.0,Nothing happens until Page 150,In the Final Chapter he sits on a Fence and Whittles,Nothing happens until Page 150 [SEP] Then John decides to sell the Cow [SEP] In the Final Chapter he sits on a Fence and Whittles,0
1,Person-4,neutral,['Girl'],23,You feel instinctively that he is going to be all Mixed Up with that Girl in the Box before Chapter XII,1,21.0,The Man who asks this Question has a Name which sounds like the Title of a Sleeping Car,is reached but who can take any real Interest in the Love Affairs of a Man with such a Name,The Man who asks this Question has a Name which sounds like the Title of a Sleeping Car [SEP] You feel instinctively that he is going to be all Mixed Up with that Girl in the Box before Chapter XII [SEP] is reached but who can take any real Interest in the Love Affairs of a Man with such a Name,1
1,Person-5,antagonist,['Thief'],9,4 The delectable Yarn about a Door-Mat Thief who truly loves the Opium Fiend,1,14.0,3 The Book that runs into a Snarl of Dialect on the third Page and never gets out,Jolly Story of the Slums,3 The Book that runs into a Snarl of Dialect on the third Page and never gets out [SEP] 4 The delectable Yarn about a Door-Mat Thief who truly loves the Opium Fiend [SEP] Jolly Story of the Slums,1
1,Person-6,neutral,['Women'],26,Even the Women drink Brandy and Soda smoke Cigarettes and Gamble,1,11.0,9 The Book that tells all about Society and how Tough it is,The clever Man of the World who says all the Killing Things is almost as Funny as Ally Sloper,9 The Book that tells all about Society and how Tough it is [SEP] Even the Women drink Brandy and Soda smoke Cigarettes and Gamble [SEP] The clever Man of the World who says all the Killing Things is almost as Funny as Ally Sloper,1
2,Person-1,protagonist,['Preacher'],1,A certain Preacher became wise to the Fact that he was not making a Hit with his Congregation,9,237.0,,The Parishioners did not seem inclined to seek him out after Services and tell him he was a Pansy,[SEP] A certain Preacher became wise to the Fact that he was not making a Hit with his Congregation [SEP] The Parishioners did not seem inclined to seek him out after Services and tell him he was a Pansy,1
