storyID,story,sentenceID,sentence,kepedulian,menyakiti,keadilan,kecurangan,loyalitas,pengkhianatan,otoritas,pembangkangan,kesucian,kemerosotan,kebebasan,penindasan,kepedulian_prob,menyakiti_prob,keadilan_prob,kecurangan_prob,loyalitas_prob,pengkhianatan_prob,otoritas_prob,pembangkangan_prob,kesucian_prob,kemerosotan_prob,kebebasan_prob,penindasan_prob,positive_label_count,max_confidence
1,Legenda Danau Toba,31,“Aku tahu Petani itu pasti memelihara makhluk halus!,1,0,0,0,0,0,0,0,0,0,0,0,0.9061300754547119,0.00012112133845221251,7.184759306255728e-05,8.066146256169304e-05,0.00027653202414512634,9.819299157243222e-05,0.00014590653881896287,0.0007401362527161837,0.0001871974382083863,0.00013779502478428185,0.0002830630983226001,0.0003268736181780696,1,0.9061300754547119
1,Legenda Danau Toba,43,"Jika disuruh membantu pekerjaan orang tua, ia selalu menolak.",1,0,0,0,0,0,0,0,0,0,0,0,0.9023562669754028,0.0003192206204403192,8.099767728708684e-05,6.462652527261525e-05,0.0010081537766382098,9.724551637191325e-05,0.0001593580236658454,0.0007835458964109421,0.00016460839833598584,0.00012941272871103138,0.0002971856447402388,0.00031075027072802186,1,0.9023562669754028
3,Batu Gantung Danau Toba,5,"Selain itu, ia juga dikenal rajin bekerja membantu orangtuanya di ladang.",1,0,0,0,0,0,0,0,0,0,0,0,0.9595766067504883,0.0001645296288188547,8.828101999824867e-05,6.837094406364486e-05,0.0029993224889039993,9.54817223828286e-05,0.0001495623291702941,0.0007257629767991602,0.00015993343549780548,0.00015577248996123672,0.0002863420231733471,0.00031598322675563395,1,0.9595766067504883
3,Batu Gantung Danau Toba,16,"Namun, Seruni juga tidak ingin mengecewakan kedua orang tuanya dan dianggap sebagai anak yang durhaka.",0,0,0,0,0,1,0,0,0,0,0,0,0.0004635789373423904,0.00022747651382815093,7.587891741422936e-05,6.432837835745886e-05,0.000522524758707732,0.9731279611587524,0.00021138005831744522,0.014036927372217178,0.0003516591095831245,0.00025231685140170157,0.0005944930016994476,0.0003277842188253999,1,0.9731279611587524
4,Sampuraga Si Anak Durhaka,34,Sampuraga pun pergi meninggalkan ibunya.,0,0,0,0,0,1,0,0,0,0,0,0,0.00012135300494264811,0.0001664439623709768,7.163127156672999e-05,6.340822437778115e-05,0.00034555018646642566,0.9545284509658813,0.00014326450764201581,0.0008117707911878824,0.0001821608457248658,0.0001206826709676534,0.00034103888901881874,0.0003182136861141771,1,0.9545284509658813
4,Sampuraga Si Anak Durhaka,90,perintah sampuraga.,0,0,0,0,0,0,1,0,0,0,0,0,0.0001353411644231528,0.000379983801394701,0.00028000216116197407,6.457458948716521e-05,0.00031816025148145854,9.478022548137233e-05,0.9778012633323669,0.0007020723423920572,0.0006103424238972366,0.0001558669755468145,0.0007389001548290253,0.00032896260381676257,1,0.9778012633323669
4,Sampuraga Si Anak Durhaka,92,Ia tega tidak mengakui ibunya sendiri dan mengusir serta mengingkarinya.,0,1,0,0,0,0,0,0,0,1,0,0,0.0001821672631194815,0.9140287041664124,9.757321822689846e-05,6.408150511560962e-05,0.0003711953468155116,9.727741417009383e-05,0.00015272872406058013,0.0007339270669035614,0.00026712959515862167,0.6257539391517639,0.00031686347210779786,0.00033191818511113524,2,0.9140287041664124
4,Sampuraga Si Anak Durhaka,94,"Sang ibu pun di seret keluar oleh kedua pengawal sambil berderai air mata sang ibupun berdoa: “Ya Tuhan, jika ia benar Sampuraga, berilah ia pelajaran !",0,0,0,0,0,0,0,0,1,0,0,0,0.00014336605090647936,0.0001508948189439252,6.741824472555891e-05,7.460494816768914e-05,0.0003257978241890669,0.00024938135175034404,0.0001625950972083956,0.0007556911441497505,0.9983221888542175,0.00013572796888183802,0.00034995379974134266,0.0003400336136110127,1,0.9983221888542175
5,Si Buyung Besar,39,"Malamnya setelah minta izin dari Datuk Penghulu, kapal yang berisi buah kelapa itu pun berangkatlah bersama para pembantunya.",0,0,0,0,0,0,1,0,0,0,0,0,0.00012705393601208925,0.00013641652185469866,6.771637708880007e-05,7.18884402886033e-05,0.00033758574863895774,0.00010291039507137612,0.9691113829612732,0.0007509728311561048,0.0003238400677219033,0.0001463974913349375,0.00032260254374705255,0.000324795488268137,1,0.9691113829612732
5,Si Buyung Besar,75,Disanalah ia tidur malam itu dan baru pagi harinya minta izin dari Datuk Penghulu.,0,0,0,0,0,0,1,0,0,0,0,0,0.00012107282964279875,0.00012434815289452672,6.787554593756795e-05,6.421058060368523e-05,0.0003412215446587652,9.338134259451181e-05,0.9820568561553955,0.0008145543979480863,0.00020340584160294384,0.00013473686703946441,0.0002769272541627288,0.00030800371314398944,1,0.9820568561553955
5,Si Buyung Besar,77,Dan Datuk memerintahkan kepada pembantunya agar patuh kepada perintahnya.,0,0,0,0,0,0,1,0,0,0,0,0,0.00013065675739198923,0.00022698126849718392,0.00041170205804519355,6.777606176910922e-05,0.0005311551503837109,0.00010082105291076005,0.9693636298179626,0.0007756637060083449,0.0005093225045129657,0.00015078665455803275,0.00031668771407566965,0.0003251718881074339,1,0.9693636298179626
5,Si Buyung Besar,101,Datuk hanya menyatakan syukur atas keselamatan mereka dan menekankan agar sedikit demi sedikit Buyung Besar dapat meolong orang tuanya.,0,0,0,0,0,0,0,0,1,0,0,0,0.0001680166315054521,0.00019879777391906828,8.24234084575437e-05,6.616309838136658e-05,0.0011331451823934913,0.00010624797141645104,0.00022055249428376555,0.0008096825331449509,0.9985920786857605,0.00021003703295718879,0.0005853056209161878,0.00032847310649231076,1,0.9985920786857605
5,Si Buyung Besar,105,"Besok paginya, Buyung Besar memberitahukan keberangkatannya berikut seraya memohon doa restu orang tuanya.",0,0,0,0,0,0,0,0,1,0,0,0,0.00012563449854496866,0.00013651791960000992,7.098622154444456e-05,6.50924484943971e-05,0.0010133133037015796,9.849655907601118e-05,0.0002491916820872575,0.000687835447024554,0.9939849972724915,0.000146440215758048,0.00030089449137449265,0.0003218051278963685,1,0.9939849972724915
